number, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, tau_1, tau_2, tau_3, tau_4, tau_5, tau_6, tau_7, m_00, m_01, m_02, m_03, m_10, m_11, m_12, m_13, m_20, m_21, m_22, m_23, m_30, m_31, m_32, m_33
0, -1.570805343116235, 0.092445262191838, 0.000050873020604, 0.000053809155276, -0.000072336828829, -0.000039907498717, -0.000047517461496, 0.218440580368042, 12.276360616683959, 0.073951492309570, -5.434994497299194, 0.052822494506836, 1.025452032089234, -0.120150604248047, 0.920374359722359, -0.391038262134381, -0.000339871417766, 3.011832357853488, 0.389393855776190, 0.916582908573164, -0.090819583765343, -91.281563785826833, 0.035825452536004, 0.083455672416447, 0.995867304259011, 1326.085293980814640, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
1, -1.570803275882821, 0.092447179654185, 0.000055846445385, 0.000052520884123, -0.000072864092795, -0.000039248364217, -0.000047757117019, 0.181473712921143, 12.229311876296997, 0.048420619964600, -5.412544937133790, 0.036535558700562, 1.024450777053833, -0.110972433090210, 0.920382413867665, -0.391019262600999, -0.000385380463266, 2.957147661213336, 0.389370356294082, 0.916590744085351, -0.090841254375326, -91.293093401218229, 0.035873916465171, 0.083458637252438, 0.995865311166834, 1326.080482277191322, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
2, -1.570792250365241, 0.461957355012723, 0.000071246194397, 0.000050902963909, -0.000073487262604, -0.000005842326040, -0.000047876999321, 0.508126396179199, 61.030953905105591, 0.410694894790649, -26.587322235107422, 0.313853654861450, 5.079199918746948, -0.111639936447144, 0.920299763132344, -0.391210587454238, -0.001619333894240, 0.951956991550605, 0.349000850504205, 0.822860082871107, -0.448441401260740, -444.578192598228156, 0.176767509248426, 0.412135366452656, 0.893810767105120, 1224.963612979559684, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
3, -1.570792579959762, 0.461979286165580, 0.000071755557831, 0.000037001307349, -0.000073678987022, 0.000001887519042, -0.000048146652691, 0.504765771865845, 60.601466117858891, 0.405852832794189, -26.382194881439208, 0.301088218688965, 4.956212425231934, -0.100793006896973, 0.920343128513543, -0.391106691068521, -0.002020395836619, 1.061906363946143, 0.348741832272044, 0.822967730959090, -0.448445368159360, -444.584381486095879, 0.177052704643114, 0.412019016553216, 0.893807960233673, 1224.942898082609872, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
4, -1.570788445383852, 0.831638874797887, 0.000087095365692, -0.000083140558695, -0.000073343447474, 0.000187493194595, -0.000047847001475, 0.707075355529785, 101.234102565765369, 0.672606430053711, -43.923664932250972, 0.538789443969727, 8.384009038925171, -0.084439174652100, 0.920868547281729, -0.389863670976396, -0.002727027694433, -0.852810519129222, 0.258950399967572, 0.616846872428722, -0.743266188072307, -736.024523264839672, 0.291454643098840, 0.683744289941578, 0.668990236840879, 1002.735616788878474, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
5, -1.570788535268308, 0.831642949432646, 0.000087484846822, -0.000082421537585, -0.000073774892865, 0.000187193597921, -0.000048116654844, 0.704386856079102, 101.236791065216067, 0.639592370986938, -43.877885437011713, 0.567841815948486, 8.368155834197999, -0.076929761886597, 0.920889079764326, -0.389817280694639, -0.002406333860973, -0.816925047444374, 0.259155692942437, 0.616807189318483, -0.743227568124702, -736.033694140303396, 0.291207193569010, 0.683806536146643, 0.669034372462874, 1002.753240196092406, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
6, -1.570801238538171, 1.201246961218396, 0.000099828578860, 0.000013152692145, -0.000073295538186, -0.000011085404190, -0.000047697230409, 0.880483570098877, 127.656675167083733, 0.851322536468506, -55.343448057174683, 0.689333553314209, 10.636332241058350, -0.084772926330566, 0.920166586787379, -0.391479957664614, -0.006074150720723, -2.244201544371754, 0.133076591623752, 0.327309215951784, -0.935499491135529, -926.097991942324938, 0.368217426694978, 0.860007046424586, 0.353275822521424, 690.667107061584375, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
7, -1.570801837786061, 1.201253522565546, 0.000100158173381, -0.000008149269517, -0.000072480556693, -0.000008059385061, -0.000048026770388, 0.846205202102661, 127.433529712677000, 0.768127107620239, -54.978532657623290, 0.719266300201416, 10.547721170425415, -0.065415328979492, 0.920274748242816, -0.391224335174077, -0.006156891604083, -2.311699603652278, 0.132942063714612, 0.327440846118953, -0.935472554374635, -926.100338288647890, 0.367995645955115, 0.860073259589267, 0.353345712719953, 690.653432247843398, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
8, -1.385986873887064, 0.092414073267223, 0.000085387615562, 0.000023339251771, -0.000074062523125, -0.000192616499525, -0.000047906888085, -0.035622617721558, 12.492784822463989, 0.060305681228638, -5.508505802154541, 0.072190742492676, 1.135923837661743, -0.045890855789185, 0.833178509410148, -0.552769594059789, 0.016104264654452, 20.066145305968561, 0.551824529928403, 0.829147581796598, -0.089464941570157, -89.844369568426146, 0.036100687339468, 0.083426994934675, 0.995859767683075, 1325.982039766016214, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
9, -1.385989120943932, 0.092414163151680, 0.000087125308997, 0.000022889829489, -0.000074350153385, -0.000184197576639, -0.000048086656998, -0.014786746978760, 12.529079565048217, 0.052382307052612, -5.483415117263794, 0.055903806686401, 1.089532354354859, -0.063412818908691, 0.833338805785350, -0.552528101625597, 0.016097567712578, 20.102284968579458, 0.551587925847806, 0.829317742794718, -0.089346748932401, -89.823887160973811, 0.036016591054158, 0.083335337041906, 0.995870486945441, 1325.983784574005995, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
10, -1.385996940618929, 0.461951362861075, 0.000099648809947, 0.000047038095909, -0.000073726896310, -0.000034754305023, -0.000048266480452, 0.450323657989502, 61.078674770355221, 0.417737894058228, -26.620776481628418, 0.318695716857910, 5.135270200729369, -0.091114208221436, 0.841006804995720, -0.534793549667012, 0.081874374412567, 83.073301218226291, 0.511749137147364, 0.737231441372619, -0.441137872416980, -437.337038054516256, 0.175557325622772, 0.412899093104125, 0.893696796645245, 1224.893082087174662, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
11, -1.385997330154601, 0.461949595224336, 0.000099678807794, 0.000047217864822, -0.000073535171892, -0.000035053847155, -0.000048176595995, 0.402602792739868, 60.994659162521359, 0.359192962646484, -26.613733482360843, 0.355671463012695, 5.144782123565673, -0.074593500137329, 0.840816937005138, -0.535146708766983, 0.081516124424331, 82.977998383394521, 0.511895259332023, 0.737074009619497, -0.441231399400405, -437.336919069763894, 0.176040114515694, 0.412722551406274, 0.893683374379314, 1224.866894885213242, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
12, -1.385998378770231, 0.831626770721372, 0.000098001000969, 0.000040177097544, -0.000073631077734, -0.000181860580773, -0.000047996772541, 0.696321357727051, 101.394740407943729, 0.680529804229736, -44.022707109451289, 0.542310943603516, 8.547046733856202, -0.079099147796631, 0.857748606220976, -0.496971970654271, 0.131476952010549, 134.671913195336487, 0.422284138498021, 0.535314350232747, -0.731515312763770, -723.899035367962938, 0.293161107411878, 0.682976871364545, 0.669028518287628, 1002.521307605223114, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
13, -1.385998438656841, 0.831625242740156, 0.000098150772035, 0.000041255656479, -0.000073055904480, -0.000187403310139, -0.000047727173714, 0.669436363220215, 101.345003168106075, 0.719266300201416, -43.993654737472532, 0.530866069793701, 8.508164663314819, -0.064580949783325, 0.857763436193401, -0.496889866525729, 0.131690349204991, 134.622048022549251, 0.422413640923028, 0.535351902952174, -0.731413054277565, -723.897750631427471, 0.292931055867827, 0.683007174595940, 0.669098345505824, 1002.545843876202298, 0.000000000000000, 0.000000000000000, 0.000000000000000, 1.000000000000000
